date,open,high,low,close
2022-02-23 15:15:00,768.225,769.1241,767.0,768.69
2022-02-23 15:14:00,766.1859,768.3981,766.06,768.3435
2022-02-23 15:13:00,765.84,766.84,765.4482,765.79
2022-02-23 15:12:00,765.8887,766.4599,765.1801,766.4599
2022-02-23 15:11:00,767.06,767.06,765.81,765.81
2022-02-23 15:10:00,766.8489,767.49,765.85,766.8992
2022-02-23 15:09:00,765.34,767.36,765.1101,766.9544
2022-02-23 15:08:00,766.04,766.545,765.086,765.315
2022-02-23 15:07:00,769.36,769.5056,766.0,766.07
2022-02-23 15:06:00,769.7003,769.7003,768.87,769.39
2022-02-23 15:05:00,769.15,770.6799,769.06,769.77
2022-02-23 15:04:00,770.8159,770.8159,768.3701,769.33
2022-02-23 15:03:00,772.98,773.0747,770.5,770.51
2022-02-23 15:02:00,772.545,773.02,772.01,772.89
2022-02-23 15:01:00,773.4163,773.4163,772.0,772.43
2022-02-23 15:00:00,772.72,774.1399,772.72,773.12
2022-02-23 14:59:00,773.91,774.02,772.5701,772.87
2022-02-23 14:58:00,773.24,775.4882,772.79,774.0
2022-02-23 14:57:00,772.07,773.1919,771.57,773.065
2022-02-23 14:56:00,772.6401,773.43,772.0,772.07
2022-02-23 14:55:00,772.87,773.685,772.0,772.7501
2022-02-23 14:54:00,774.06,774.195,772.5521,772.82
2022-02-23 14:53:00,774.815,774.815,772.98,773.61
2022-02-23 14:52:00,774.0978,775.11,774.0,774.93
